dest_vaddr,from_vaddr,from_func
80044609,801c5df0,task_dispatch_loop_801c5cc4
8004460a,801c5dc6,task_dispatch_loop_801c5cc4
8004460b,801c5d8e,task_dispatch_loop_801c5cc4
8004460c,801c5e06,task_dispatch_loop_801c5cc4
8004460d,801c5d72,task_dispatch_loop_801c5cc4
8004460e,801c5e30,task_dispatch_loop_801c5cc4
8004460f,801c5db8,task_dispatch_loop_801c5cc4
80044610,801c5d64,task_dispatch_loop_801c5cc4
80044611,801c5e42,task_dispatch_loop_801c5cc4
80044612,801c5e50,task_dispatch_loop_801c5cc4
80044613,801c5e14,task_dispatch_loop_801c5cc4
80044614,801c5d2c,task_dispatch_loop_801c5cc4
80044615,801c5d1e,task_dispatch_loop_801c5cc4
80044617,801c5d02,task_dispatch_loop_801c5cc4
80044618,801c5dd4,task_dispatch_loop_801c5cc4
80044619,801c5e22,task_dispatch_loop_801c5cc4
8004461a,801c5d80,task_dispatch_loop_801c5cc4
8004461b,801c5d56,task_dispatch_loop_801c5cc4
8004461c,801c5daa,task_dispatch_loop_801c5cc4
8004461d,801c5d10,task_dispatch_loop_801c5cc4
8004461e,801c5d3a,task_dispatch_loop_801c5cc4
80044620,801c5cf8,task_dispatch_loop_801c5cc4
80044628,801c1aa6,update_engine_control_801c1a5c
80044628,801c1aa2,update_engine_control_801c1a5c
80044b3a,801c7f32,process_calibration_data_801c7f24
80044b3a,801c7f28,process_calibration_data_801c7f24
80044b3a,801c7f5e,copy_and_update_table
80044b3a,801c7f5a,copy_and_update_table
80044b40,801c8076,fill_uds_transfer_block
80044b40,801c806c,fill_uds_transfer_block
80044b40,801c809e,process_ecu_data_801c8094
80044b40,801c809a,process_ecu_data_801c8094
80044b5e,8018eb7e,update_engine_control_8018eaa0
80044ce5,801a0234,initialize_data
80044cee,801a023c,initialize_data
80044cef,801a0246,initialize_data
80044cf0,801a0250,initialize_data
80044cf1,801a025a,initialize_data
80044eda,800db37a,process_control_flags_800db348
80044ff7,801c91d2,process_data_block_801c9158
80044ff7,801c91ce,process_data_block_801c9158
80044ff8,801c91f0,process_data_block_801c9158
80044ff8,801c91ec,process_data_block_801c9158
80044fff,801c9186,process_data_block_801c9158
80045038,801c91e0,process_data_block_801c9158
80045039,801c91c2,process_data_block_801c9158
8004503e,801c916c,process_data_block_801c9158
8004503e,801c8eea,copy_table_801c8ee4
800450fc,801ca98c,FUN_801ca984
80045215,801cb2a4,update_globals_801cb2a0
8004542a,800d2b7c,check_status_flags
8004542a,800d2b78,check_status_flags
8004542a,800d2c74,process_control_flags
8004542a,800d2c70,process_control_flags
8004542b,800d2b90,check_status_flags
8004542b,800d2c80,process_control_flags
80045454,800a25ee,FUN_800a1d10
80045454,800a25f6,FUN_800a1d10
80045454,800a2606,FUN_800a1d10
80045458,800a2612,FUN_800a1d10
80045458,800a261a,FUN_800a1d10
80045458,800a262a,FUN_800a1d10
80045624,800a2718,FUN_800a1d10
80045624,800a2726,FUN_800a1d10
80045624,800a273e,FUN_800a1d10
80045626,800a24ce,FUN_800a1d10
80045626,800a24dc,FUN_800a1d10
80045626,800a24f4,FUN_800a1d10
80045636,800a2752,FUN_800a1d10
80045636,800a2760,FUN_800a1d10
80045636,800a2778,FUN_800a1d10
80045688,800a00dc,FUN_8009ffd0
80045688,800a00e2,FUN_8009ffd0
80045688,800a00f0,FUN_8009ffd0
800456bd,800a0dea,check_and_reset_flags
800456bd,800a0df0,check_and_reset_flags
800456bd,800a0dfe,check_and_reset_flags
800456c0,800a0dc8,check_and_reset_flags
800456c0,800a0dce,check_and_reset_flags
800456c0,800a0ddc,check_and_reset_flags
800456c1,800a0e2e,check_and_reset_flags
800456c1,800a0e34,check_and_reset_flags
800456c1,800a0e42,check_and_reset_flags
800456c2,800a0e0c,check_and_reset_flags
800456c2,800a0e12,check_and_reset_flags
800456c2,800a0e20,check_and_reset_flags
800456c4,800a0e72,check_and_reset_flags
800456c4,800a0e78,check_and_reset_flags
800456c4,800a0e86,check_and_reset_flags
800456c5,800a0e50,check_and_reset_flags
800456c5,800a0e56,check_and_reset_flags
800456c5,800a0e64,check_and_reset_flags
800456c7,80192f7a,update_calibration_flags
800456c7,801b74e0,
800456cb,8009fb5a,initialize_ecu_state_8009fb30
800456cb,8009fb66,initialize_ecu_state_8009fb30
800456cb,8009fb78,initialize_ecu_state_8009fb30
800456cb,8009fb62,initialize_ecu_state_8009fb30
800456db,8009f874,initialize_ecu_state_8009f798
800456dc,8009f86e,initialize_ecu_state_8009f798
80045715,800a278c,FUN_800a1d10
80045715,800a2798,FUN_800a1d10
80045715,800a27aa,FUN_800a1d10
80045715,800a2794,FUN_800a1d10
8004571d,800a23d2,FUN_800a1d10
80045730,800a1d14,FUN_800a1d10
80048000,8008a014,
80048000,80090058,
8004a06f,8010a0f8,
8004a06f,80169c78,
8004a06f,801a9810,
8004a06f,801a98b8,
8004a06f,801a9958,
8004a06f,801a9a34,
8004a16f,8010a154,
8004a36f,8010a184,
80058004,80056c60,
8005801f,80051398,
8005fa7f,80176fb4,
8006286f,80107734,
8006836f,8010a180,
8006906f,8010a0f4,
8006906f,80169c74,
8006906f,801a980c,
8006906f,801a98b4,
8006906f,801a9954,
8006906f,801a9a30,
8006916f,8010a150,
